PRODUCT,ROOT_LOT_ID,WAFER_ID,KNOB_CONTACT_ETCH_ppid,KNOB_GATE_ETCH_ppid,KNOB_METAL_ETCH_ppid
PRODB,R088,3,,KNOB_A,KNOB_M1
PRODA,R015,2,,,
PRODA,R010,4,,,
PRODA,R106,5,,,
PRODA,R020,4,,,
PRODB,R052,3,,,
PRODA,R130,4,,,
PRODA,R046,1,,,
PRODA,R106,3,KNOB_STD,KNOB_NEW,
PRODA,R077,2,KNOB_STD,KNOB_B,
PRODA,R168,3,,,
PRODB,R150,3,,,
PRODB,R141,1,,,
PRODB,R183,4,,KNOB_A,KNOB_M1
PRODB,R122,3,,,
PRODA,R163,3,,,
PRODA,R113,3,,,
PRODB,R114,3,,,
PRODB,R109,1,,KNOB_A,KNOB_M1
PRODA,R153,3,,,
PRODB,R064,1,,KNOB_A,PP_X9_0500
PRODA,R097,4,,,
PRODB,R006,2,,,
PRODA,R193,1,KNOB_STD,KNOB_NEW,
PRODA,R054,2,,,
PRODB,R018,3,,,
PRODA,R101,4,,,
PRODA,R167,4,,,
PRODB,R055,2,,,
PRODB,R133,3,,,
PRODA,R024,3,,,
PRODA,R006,2,,,
PRODA,R083,2,PP_X9_0200,,
PRODB,R024,4,,KNOB_A,KNOB_M1
PRODB,R061,3,,,KNOB_M1
PRODB,R141,4,,,
PRODB,R079,4,,,
PRODA,R075,2,,,
PRODA,R142,1,,,
PRODA,R017,1,KNOB_STD,KNOB_A,
PRODA,R046,2,,,
PRODB,R162,3,,,
PRODA,R153,1,,,
PRODA,R186,1,KNOB_STD,KNOB_NEW,
PRODB,R157,4,,,
PRODB,R094,2,,,PP_X9_0500
PRODA,R194,3,,,
PRODA,R186,4,KNOB_STD,,
PRODB,R135,4,,,
PRODB,R053,3,,KNOB_A,KNOB_M1
PRODB,R123,4,,PP_X9_2300,PP_X9_0500
PRODA,R141,1,KNOB_STD,KNOB_B,
PRODA,R020,3,,,
PRODA,R131,2,KNOB_STD,KNOB_A,
PRODA,R152,4,,KNOB_B,
PRODA,R026,3,,,
PRODA,R183,1,KNOB_STD,KNOB_A,
PRODB,R030,1,,,
PRODB,R186,1,,,
PRODA,R005,1,,,
PRODA,R135,5,KNOB_STD,KNOB_B,
PRODA,R120,3,,,
PRODA,R195,2,,,
PRODA,R045,2,,,
PRODB,R030,3,,,
PRODB,R122,2,,,
PRODA,R164,4,,,
